Name,Source Plate,Source Well,Destination Plate,Destination Well,Volume,OD_Value
mutant1,H2O,A01,Sync_OD,A01,133,0.13
mutant2,H2O,B01,Sync_OD,B01,107,0.125
mutant3,H2O,C01,Sync_OD,C01,159,0.135
mutant4,H2O,D01,Sync_OD,D01,123,0.128
mutant5,H2O,E01,Sync_OD,E01,107,0.125
mutant6,H2O,F01,Sync_OD,F01,123,0.128
mutant7,H2O,G01,Sync_OD,G01,138,0.131
mutant8,H2O,H01,Sync_OD,H01,180,0.139
mutant9,H2O,A02,Sync_OD,A02,118,0.127
mutant10,H2O,B02,Sync_OD,B02,133,0.13
mutant11,H2O,C02,Sync_OD,C02,133,0.13
mutant12,H2O,D02,Sync_OD,D02,138,0.131
mutant13,H2O,E02,Sync_OD,E02,170,0.137
mutant14,H2O,F02,Sync_OD,F02,159,0.135
mutant15,H2O,G02,Sync_OD,G02,159,0.135
mutant16,H2O,H02,Sync_OD,H02,175,0.138
mutant17,H2O,A03,Sync_OD,A03,112,0.126
mutant18,H2O,B03,Sync_OD,B03,159,0.135
mutant19,H2O,C03,Sync_OD,C03,123,0.128
mutant20,H2O,D03,Sync_OD,D03,118,0.127
mutant21,H2O,E03,Sync_OD,E03,180,0.139
mutant22,H2O,F03,Sync_OD,F03,138,0.131
mutant23,H2O,G03,Sync_OD,G03,118,0.127
mutant24,H2O,H03,Sync_OD,H03,165,0.136
mutant25,H2O,A04,Sync_OD,A04,149,0.133
mutant26,H2O,B04,Sync_OD,B04,138,0.131
mutant27,H2O,C04,Sync_OD,C04,149,0.133
mutant28,H2O,D04,Sync_OD,D04,159,0.135
mutant29,H2O,E04,Sync_OD,E04,128,0.129
mutant30,H2O,F04,Sync_OD,F04,133,0.13
mutant31,H2O,G04,Sync_OD,G04,144,0.132
mutant32,H2O,H04,Sync_OD,H04,91,0.122
mutant33,H2O,A05,Sync_OD,A05,133,0.13
mutant34,H2O,B05,Sync_OD,B05,154,0.134
mutant35,H2O,C05,Sync_OD,C05,118,0.127
mutant36,H2O,D05,Sync_OD,D05,112,0.126
mutant37,H2O,E05,Sync_OD,E05,170,0.137
mutant38,H2O,F05,Sync_OD,F05,149,0.133
mutant39,H2O,G05,Sync_OD,G05,154,0.134
mutant40,H2O,H05,Sync_OD,H05,144,0.132
mutant41,H2O,A06,Sync_OD,A06,149,0.133
mutant42,H2O,B06,Sync_OD,B06,128,0.129
mutant43,H2O,C06,Sync_OD,C06,138,0.131
mutant44,H2O,D06,Sync_OD,D06,123,0.128
mutant45,H2O,E06,Sync_OD,E06,133,0.13
mutant46,H2O,F06,Sync_OD,F06,144,0.132
mutant47,H2O,G06,Sync_OD,G06,170,0.137
mutant48,H2O,H06,Sync_OD,H06,102,0.124
mutant49,H2O,A07,Sync_OD,A07,144,0.132
mutant50,H2O,B07,Sync_OD,B07,118,0.127
mutant51,H2O,C07,Sync_OD,C07,133,0.13
mutant52,H2O,D07,Sync_OD,D07,144,0.132
mutant53,H2O,E07,Sync_OD,E07,149,0.133
mutant54,H2O,F07,Sync_OD,F07,128,0.129
mutant55,H2O,G07,Sync_OD,G07,149,0.133
mutant56,H2O,H07,Sync_OD,H07,128,0.129
mutant57,H2O,A08,Sync_OD,A08,128,0.129
mutant58,H2O,B08,Sync_OD,B08,144,0.132
mutant59,H2O,C08,Sync_OD,C08,123,0.128
mutant60,H2O,D08,Sync_OD,D08,123,0.128
mutant61,H2O,E08,Sync_OD,E08,144,0.132
mutant62,H2O,F08,Sync_OD,F08,144,0.132
mutant63,H2O,G08,Sync_OD,G08,159,0.135
mutant64,H2O,H08,Sync_OD,H08,138,0.131
mutant65,H2O,A09,Sync_OD,A09,97,0.123
mutant66,H2O,B09,Sync_OD,B09,118,0.127
mutant67,H2O,C09,Sync_OD,C09,128,0.129
mutant68,H2O,D09,Sync_OD,D09,144,0.132
mutant69,H2O,E09,Sync_OD,E09,81,0.12
mutant70,H2O,F09,Sync_OD,F09,118,0.127
mutant71,H2O,G09,Sync_OD,G09,102,0.124
mutant72,H2O,H09,Sync_OD,H09,133,0.13
mutant73,H2O,A10,Sync_OD,A10,138,0.131
mutant74,H2O,B10,Sync_OD,B10,128,0.129
mutant75,H2O,C10,Sync_OD,C10,97,0.123
mutant76,H2O,D10,Sync_OD,D10,112,0.126
mutant77,H2O,E10,Sync_OD,E10,154,0.134
mutant78,H2O,F10,Sync_OD,F10,133,0.13
mutant79,H2O,G10,Sync_OD,G10,123,0.128
mutant80,H2O,H10,Sync_OD,H10,165,0.136
mutant81,H2O,A11,Sync_OD,A11,91,0.122
mutant82,H2O,B11,Sync_OD,B11,138,0.131
mutant83,H2O,C11,Sync_OD,C11,149,0.133
mutant84,H2O,D11,Sync_OD,D11,102,0.124
mutant85,H2O,E11,Sync_OD,E11,65,0.117
mutant86,H2O,F11,Sync_OD,F11,70,0.118
mutant87,H2O,G11,Sync_OD,G11,65,0.117
mutant88,H2O,H11,Sync_OD,H11,76,0.119
mutant89,H2O,A12,Sync_OD,A12,133,0.13
mutant90,H2O,B12,Sync_OD,B12,128,0.129
mutant91,H2O,C12,Sync_OD,C12,133,0.13
mutant92,H2O,D12,Sync_OD,D12,123,0.128
mutant93,H2O,E12,Sync_OD,E12,65,0.117
mutant94,H2O,F12,Sync_OD,F12,86,0.121
mutant95,H2O,G12,Sync_OD,G12,70,0.118
mutant96,H2O,H12,Sync_OD,H12,81,0.12
