Source Plate,Source Well,Destination Plate,Destination Well,Volume
H2O,A01,Sync_OD,A01,133
H2O,B01,Sync_OD,B01,107
H2O,C01,Sync_OD,C01,159
H2O,D01,Sync_OD,D01,123
H2O,E01,Sync_OD,E01,107
H2O,F01,Sync_OD,F01,123
H2O,G01,Sync_OD,G01,138
H2O,H01,Sync_OD,H01,180
H2O,A02,Sync_OD,A02,118
H2O,B02,Sync_OD,B02,133
H2O,C02,Sync_OD,C02,133
H2O,D02,Sync_OD,D02,138
H2O,E02,Sync_OD,E02,170
H2O,F02,Sync_OD,F02,159
H2O,G02,Sync_OD,G02,159
H2O,H02,Sync_OD,H02,175
H2O,A03,Sync_OD,A03,112
H2O,B03,Sync_OD,B03,159
H2O,C03,Sync_OD,C03,123
H2O,D03,Sync_OD,D03,118
H2O,E03,Sync_OD,E03,180
H2O,F03,Sync_OD,F03,138
H2O,G03,Sync_OD,G03,118
H2O,H03,Sync_OD,H03,165
H2O,A04,Sync_OD,A04,149
H2O,B04,Sync_OD,B04,138
H2O,C04,Sync_OD,C04,149
H2O,D04,Sync_OD,D04,159
H2O,E04,Sync_OD,E04,128
H2O,F04,Sync_OD,F04,133
H2O,G04,Sync_OD,G04,144
H2O,H04,Sync_OD,H04,91
H2O,A05,Sync_OD,A05,133
H2O,B05,Sync_OD,B05,154
H2O,C05,Sync_OD,C05,118
H2O,D05,Sync_OD,D05,112
H2O,E05,Sync_OD,E05,170
H2O,F05,Sync_OD,F05,149
H2O,G05,Sync_OD,G05,154
H2O,H05,Sync_OD,H05,144
H2O,A06,Sync_OD,A06,149
H2O,B06,Sync_OD,B06,128
H2O,C06,Sync_OD,C06,138
H2O,D06,Sync_OD,D06,123
H2O,E06,Sync_OD,E06,133
H2O,F06,Sync_OD,F06,144
H2O,G06,Sync_OD,G06,170
H2O,H06,Sync_OD,H06,102
H2O,A07,Sync_OD,A07,144
H2O,B07,Sync_OD,B07,118
H2O,C07,Sync_OD,C07,133
H2O,D07,Sync_OD,D07,144
H2O,E07,Sync_OD,E07,149
H2O,F07,Sync_OD,F07,128
H2O,G07,Sync_OD,G07,149
H2O,H07,Sync_OD,H07,128
H2O,A08,Sync_OD,A08,128
H2O,B08,Sync_OD,B08,144
H2O,C08,Sync_OD,C08,123
H2O,D08,Sync_OD,D08,123
H2O,E08,Sync_OD,E08,144
H2O,F08,Sync_OD,F08,144
H2O,G08,Sync_OD,G08,159
H2O,H08,Sync_OD,H08,138
H2O,A09,Sync_OD,A09,97
H2O,B09,Sync_OD,B09,118
H2O,C09,Sync_OD,C09,128
H2O,D09,Sync_OD,D09,144
H2O,E09,Sync_OD,E09,81
H2O,F09,Sync_OD,F09,118
H2O,G09,Sync_OD,G09,102
H2O,H09,Sync_OD,H09,133
H2O,A10,Sync_OD,A10,138
H2O,B10,Sync_OD,B10,128
H2O,C10,Sync_OD,C10,97
H2O,D10,Sync_OD,D10,112
H2O,E10,Sync_OD,E10,154
H2O,F10,Sync_OD,F10,133
H2O,G10,Sync_OD,G10,123
H2O,H10,Sync_OD,H10,165
H2O,A11,Sync_OD,A11,91
H2O,B11,Sync_OD,B11,138
H2O,C11,Sync_OD,C11,149
H2O,D11,Sync_OD,D11,102
H2O,E11,Sync_OD,E11,65
H2O,F11,Sync_OD,F11,70
H2O,G11,Sync_OD,G11,65
H2O,H11,Sync_OD,H11,76
H2O,A12,Sync_OD,A12,133
H2O,B12,Sync_OD,B12,128
H2O,C12,Sync_OD,C12,133
H2O,D12,Sync_OD,D12,123
H2O,E12,Sync_OD,E12,65
H2O,F12,Sync_OD,F12,86
H2O,G12,Sync_OD,G12,70
H2O,H12,Sync_OD,H12,81
